Shanghai,24256800,6340.5, China
Karachi,23500000,3527, Pakistan
Mumbai,22000000,603.4, India
Beijing,21516000,16410.54, China
Delhi,18686902,1483, India
Lagos,16060303,1171.28, Nigeria
Tianjin,15200000,11760, China
Istanbul,14160467,5461, Turkey
Tokyo,13297629,2189, Japan
Guangzhou,13080500,7434.4, China
Moscow,12197596,2510.12, Russia
São Paulo,11895893,1521.11, Brazil
Hyderabad,11723548,621.48, India
Bengaluru,11556907,709.5, India
Shenzhen,10467400,1991.64, China
Jakarta,10075310,664.12, Indonesia
Lahore,10052000,1772, Pakistan
Seoul,9995784,605.21, South Korea
Kinshasa,9735000,1117.62, Democratic Republic of the Congo
Cairo,9278441,3085.1, Egypt
Mexico City,8874724,1485.49, Mexico
Lima,8693387,2672.3, Peru
London,8673713,1572.15, United Kingdom
New York City,8550405,783.84, United States
Bangkok,8280925,1568.74, Thailand
Ho Chi Minh City,8224400,2095.5, Vietnam
Dongguan,8220207,2469.4, China
Chongqing,8189800,5473, China
Nanjing,8187828,4713.85, China
Tehran,8154051,686, Iran
Shenyang,8106171,12942, China
Bogotá,7776845,859.11, Colombia
Ningbo,7605689,9816.23, China
Hong Kong,7298600,1104.43, China
Hanoi,7232700,3324.5, Vietnam
Baghdad,7180889,4555, Iraq
Changsha,7044118,11819, China
Dhaka,6970105,300, Bangladesh
Wuhan,6886253,1327.61, China
Rio de Janeiro,6429923,1200.27, Brazil
Faisalabad,6418745,214, Pakistan
Foshan,6151622,2034.62, China
Zunyi,6127009,30763, China
Santiago,5743719,1249.9, Chile
Riyadh,5676621,1233.98, Saudi Arabia
Ahmedabad,5570585,475, India
Singapore,5535000,719.1, Singapore
Shantou,5391028,2064.42, China
Yangon,5214000,598.75, Myanmar
Saint Petersburg,5191690,1439, Russia
Chennai,4792949,426.51, India
Abidjan,4765000,2119, Ivory Coast
Chengdu,4741929,421, China
Alexandria,4616625,2300, Egypt
Kolkata,4486679,200.7, India
Ankara,4470800,1910.92, Turkey
Xi'an,4467837,832.17, China
Surat,4462002,326.515, India
Johannesburg,4434827,1644.98, South Africa
Dar es Salaam,4364541,1631.12, Tanzania
Suzhou,4327066,1649.72, China
Harbin,4280701,1718.2, China
Giza,4239988,289.08, Egypt
Zhengzhou,4122087,1015.66, China
New Taipei City,3954929,2052.57, Taiwan
Los Angeles,3884307,1213.85, United States
Cape Town,3740026,2444.97, South Africa
Yokohama,3680267,437.38, Japan
Busan,3590101,766.12, South Korea
Hangzhou,3560391,728.19, China
Xiamen,3531347,1699, China
Quanzhou,3520846,1062, China
Berlin,3517424,891.75, Germany
Rawalpindi,3510000,127, Pakistan
Jeddah,3456259,1765, Saudi Arabia
Durban,3442361,2291.31, South Africa
Hyderabad,3429471,114, Pakistan
Kabul,3414100,275, Afghanistan
Casablanca,3359818,387, Morocco
Hefei,3352076,838.52, China
Pyongyang,3255388,2113, North Korea
Madrid,3207247,605.77, Spain
Peshawar,3201000,125, Pakistan
Ekurhuleni,3178470,1975.31, South Africa
Nairobi,3138369,694.9, Kenya
Zhongshan,3121275,1783.67, China
Pune,3115431,450.69, India
Addis Ababa,3103673,526.99, Ethiopia
Jaipur,3073350,485, India
Buenos Aires,3054300,203, Argentina
Wenzhou,3039439,1187.88, China
